Candidate Votes,Total Votes,Candidate ID,Candidate,Party,Year,Party ID,Share
49951,9505041,"P40000846","David Bergland","Libertarian",1984,"Libertarian",0.5255211418867104
26297,9505041,"P40000879","Sonia Johnson","Citizens",1984,"Citizens",0.2766637198093096
39265,9505041,"P40001828","Bob Richards","Populist",1984,"Populist",0.4130965873792654
50165,12421353,"P40002537","Michael Badnarik","Libertarian",2004,"Libertarian",0.4038609964631067
40771,12421353,"P40003097","David Keith Cobb","Green",2004,"Green",0.328233164293777
26645,12421353,"P40003261","Michael Anthony Peroutka","American Independent Party",2004,"American Independent Party",0.21450964319265378
86413,7803770,"P60000221,P60001393,P99999999","Peter Miguel Camejo,Gus Hall,Other","Independent",1976,"Independent",1.10732376787117
3742284,7803770,"P60000247","Jimmy Carter","Democratic",1976,"Democratic",47.954821836112544
3082943,8582938,"P60000247","Jimmy Carter","Democratic",1980,"Democratic",35.91943691076413
3882244,7803770,"P60000338","Gerald R Ford","Republican",1976,"Republican",49.748313955946934
4522994,8582938,"P60000668","Ronald Reagan","Republican",1980,"Republican",52.69750288304541
5467009,9505041,"P60000668","Ronald Reagan","Republican",1984,"Republican",57.51694285169312
51098,7803770,"P60002375","Lester Garfield Maddox","American Independent Party",1976,"American Independent Party",0.6547860841618859
73600,10019469,"P60003043","Harry Browne","Libertarian",1996,"Libertarian",0.7345698659280248
45520,10965822,"P60003043","Harry Browne","Libertarian",2000,"Libertarian",0.4151079599869485
40673,13561900,"P60003076","Alan L Keyes","American Independent Party",2008,"American Independent Party",0.2999063553041978
60160,17500881,"P60016342","Roque Rocky De La Fuente","American Independent",2020,"American Independent",0.34375412300672176
6745485,12421353,"P80000235","John F Kerry","Democratic",2004,"Democratic",54.305557534674364
11110250,17500881,"P80000722","Joseph R Biden Jr.","Democratic",2020,"Democratic",63.48394689387351
70105,9887065,"P80000748","Ron Paul","Libertarian",1988,"Libertarian",0.7090577436276589
4702233,9887065,"P80000789","Michael S Dukakis","Democratic",1988,"Democratic",47.55944256460335
44987,10965822,"P80000805","Patrick J Buchanan","Reform Party",2000,"Reform Party",0.41024740324984305
5861203,10965822,"P80000912","Al Gore","Democratic",2000,"Democratic",53.44973682775446
58999,9887065,"P80001118","Lenora B Fulani","Independent",1988,"Independent",0.5967291607772377
4483810,14181595,"P80001571","Donald J. Trump","Republican",2016,"Republican",31.617106538439433
6006429,17500881,"P80001571","Donald J. Trump","Republican",2020,"Republican",34.32072362528492
48139,11131721,"P80002439","An V Marrou","Libertarian",1992,"Libertarian",0.4324488549434539
5011781,13561900,"P80002801","John S. Mccain","Republican",2008,"Republican",36.954858832464474
8274473,13561900,"P80003338","Barack Obama","Democratic",2008,"Democratic",61.01263834713425
7854285,13038547,"P80003338","Barack Obama","Democratic",2012,"Democratic",60.23895914168964
4839958,13038547,"P80003353","Mitt Romney","Republican",2012,"Republican",37.1203785207048
38774,13561900,"P80004930","Cynthia Mckinney","Green",2008,"Green",0.28590389252243414
66101,14181595,"P80005572","Gloria Estela La Riva","Peace & Freedom",2016,"Peace & Freedom",0.4661041300361489
51037,17500881,"P80005572","Gloria Estela La Riva","Peace & Freedom",2020,"Peace & Freedom",0.291625318748239
67582,13561900,"P80005580","Bob Barr","Libertarian",2008,"Libertarian",0.4983225064334644
2605,17500881,"P99999999","Other","American Solidarity Party",2020,"American Solidarity Party",0.014884964934051035
20236,13561900,"P99999999","Other","Independent",2008,"Independent",0.14921213104358533
1476,17500881,"P99999999","Other","Independent",2020,"Independent",0.008433861129619703
811,9887065,"P99999999","Other","Other",1988,"Other",0.00820263647503076
4369,11131721,"P99999999","Other","Other",1992,"Other",0.03924819890832694
853,10019469,"P99999999","Other","Other",1996,"Other",0.008513425212453874
20854,12421353,"P99999999","Other","Other",2004,"Other",0.16788831297202486
23249,13038547,"P99999999","Other","Other",2012,"Other",0.17830974571016234
120739,14181595,"P99999999","Other","Other",2016,"Other",0.8513781418803738
41731,7803770,"P99999999","Other","Peace & Freedom",1976,"Peace & Freedom",0.5347543559074652
18106,8582938,"P99999999","Other","Peace & Freedom",1980,"Peace & Freedom",0.21095340546558766
25332,10019469,"P99999999","Other","Peace & Freedom",1996,"Peace & Freedom",0.25282776961533593
27607,12421353,"P99999999","Other","Peace & Freedom",2004,"Peace & Freedom",0.22225437116230412
