ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
11,"$75,000-$99,999",2021,"2021",32078,1452,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.12831713268530742
12,"$100,000-$124,999",2021,"2021",28634,1331,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.11454058162326493
13,"$125,000-$149,999",2021,"2021",19957,1079,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07983119324772991
14,"$150,000-$199,999",2021,"2021",28524,1373,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.1141005640225609
15,"$200,000+",2021,"2021",30557,1465,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.12223288931557262
0,"< $10,000",2020,"2020",7145751,24748,"United States","01000US","united-states",0.05840216265856758
1,"$10,000-$14,999",2020,"2020",5020097,17141,"United States","01000US","united-states",0.04102921044349112
2,"$15,000-$19,999",2020,"2020",5030224,16026,"United States","01000US","united-states",0.04111197832908402
3,"$20,000-$24,999",2020,"2020",5329476,20676,"United States","01000US","united-states",0.04355776240131123
4,"$25,000-$29,999",2020,"2020",5187269,18811,"United States","01000US","united-states",0.04239550578962872
5,"$30,000-$34,999",2020,"2020",5382215,20154,"United States","01000US","united-states",0.043988797803531404
6,"$35,000-$39,999",2020,"2020",4960174,20596,"United States","01000US","united-states",0.04053946026985796
7,"$40,000-$44,999",2020,"2020",5128434,16706,"United States","01000US","united-states",0.041914647830819794
8,"$45,000-$49,999",2020,"2020",4601774,18581,"United States","01000US","united-states",0.037610260092461545
9,"$50,000-$59,999",2020,"2020",9122890,26253,"United States","01000US","united-states",0.0745613030311607
10,"$60,000-$74,999",2020,"2020",11911889,32548,"United States","01000US","united-states",0.09735576833684828
11,"$75,000-$99,999",2020,"2020",15613243,47722,"United States","01000US","united-states",0.1276069033630953
12,"$100,000-$124,999",2020,"2020",11455250,46295,"United States","01000US","united-states",0.09362366164096066
13,"$125,000-$149,999",2020,"2020",7673688,38871,"United States","01000US","united-states",0.06271698730715612
14,"$150,000-$199,999",2020,"2020",8688154,41715,"United States","01000US","united-states",0.07100820936955186
15,"$200,000+",2020,"2020",10103691,51548,"United States","01000US","united-states",0.0825773813324737
0,"< $10,000",2020,"2020",10463,1110,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04302821940567349
1,"$10,000-$14,999",2020,"2020",7215,696,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.02967108888578173
2,"$15,000-$19,999",2020,"2020",7942,908.9999999999999,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03266081606803583
3,"$20,000-$24,999",2020,"2020",8258,799,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.033960339850143524
4,"$25,000-$29,999",2020,"2020",8449,691,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03474581150325292
5,"$30,000-$34,999",2020,"2020",7741,772,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03183422024460657
6,"$35,000-$39,999",2020,"2020",8737,761,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.035930187608464996
7,"$40,000-$44,999",2020,"2020",8218,732,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03379584316886407
8,"$45,000-$49,999",2020,"2020",7141,663,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.029366770025414737
9,"$50,000-$59,999",2020,"2020",16000,788,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.06579867251178208
10,"$60,000-$74,999",2020,"2020",23295,1115,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09579875476012271
11,"$75,000-$99,999",2020,"2020",31717,1235,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.13043353100351202
12,"$100,000-$124,999",2020,"2020",27366,1401,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.11254040449733926
13,"$125,000-$149,999",2020,"2020",18879,1104,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07763832114687086
14,"$150,000-$199,999",2020,"2020",26223,1234,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.10783991182977884
15,"$200,000+",2020,"2020",25522,1147,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.10495710749035639
0,"< $10,000",2019,"2019",7302871,18046,"United States","01000US","united-states",0.06047623386946217
1,"$10,000-$14,999",2019,"2019",5189583,15224,"United States","01000US","united-states",0.04297576051842968
2,"$15,000-$19,999",2019,"2019",5300624,15337,"United States","01000US","united-states",0.04389530866396025
3,"$20,000-$24,999",2019,"2019",5459520,16244,"United States","01000US","united-states",0.04521115166008083
4,"$25,000-$29,999",2019,"2019",5285952,16670,"United States","01000US","united-states",0.043773807503206794
5,"$30,000-$34,999",2019,"2019",5506182,18565,"United States","01000US","united-states",0.04559756708831677
6,"$35,000-$39,999",2019,"2019",5093804,14176,"United States","01000US","united-states",0.04218259941729792
7,"$40,000-$44,999",2019,"2019",5081209,16048.000000000002,"United States","01000US","united-states",0.042078298223207834
8,"$45,000-$49,999",2019,"2019",4647032,14255,"United States","01000US","united-states",0.038482809573231476
9,"$50,000-$59,999",2019,"2019",9090005,22946,"United States","01000US","united-states",0.07527577417902911
10,"$60,000-$74,999",2019,"2019",11699885,30719,"United States","01000US","united-states",0.09688860470160468
11,"$75,000-$99,999",2019,"2019",15374617,51444,"United States","01000US","united-states",0.12731964365047788
12,"$100,000-$124,999",2019,"2019",11019036,49867,"United States","01000US","united-states",0.09125038606761957
13,"$125,000-$149,999",2019,"2019",7267775,40108,"United States","01000US","united-states",0.06018559832299249
14,"$150,000-$199,999",2019,"2019",8173563,49077,"United States","01000US","united-states",0.06768657251850442
15,"$200,000+",2019,"2019",9264390,54033.00000000001,"United States","01000US","united-states",0.07671988404257814
0,"< $10,000",2019,"2019",9500,760,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03929451862146556
1,"$10,000-$14,999",2019,"2019",6762,619,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.027969424728247382
2,"$15,000-$19,999",2019,"2019",8198,705,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03390910143776576
3,"$20,000-$24,999",2019,"2019",8816,729,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.036465313280720044
4,"$25,000-$29,999",2019,"2019",9113,706,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.037693784020780594
5,"$30,000-$34,999",2019,"2019",8478,663,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.035067255670819475
6,"$35,000-$39,999",2019,"2019",9439,763,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03904220644926457
7,"$40,000-$44,999",2019,"2019",8475,666,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03505484687546533
8,"$45,000-$49,999",2019,"2019",7758,505,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03208914478582419
9,"$50,000-$59,999",2019,"2019",16864,773,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.06975397495077844
10,"$60,000-$74,999",2019,"2019",23306,1053,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09639979484125015
11,"$75,000-$99,999",2019,"2019",31746,1152,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.13130987243758377
12,"$100,000-$124,999",2019,"2019",26873,1154,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.11115385251733095
13,"$125,000-$149,999",2019,"2019",19224,843,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0795155606293741
14,"$150,000-$199,999",2019,"2019",24046,1079,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0994606310286064
15,"$200,000+",2019,"2019",23166,854,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09582071772472328
0,"< $10,000",2018,"2018",7584305,18464,"United States","01000US","united-states",0.06334500034945256
1,"$10,000-$14,999",2018,"2018",5507051,15243,"United States","01000US","united-states",0.04599553255300955
2,"$15,000-$19,999",2018,"2018",5488289,17043,"United States","01000US","united-states",0.045838830139728906
3,"$20,000-$24,999",2018,"2018",5658672,16600,"United States","01000US","united-states",0.04726188883720228
4,"$25,000-$29,999",2018,"2018",5558387,15816,"United States","01000US","united-states",0.046424296815251044
5,"$30,000-$34,999",2018,"2018",5559047,15601,"United States","01000US","united-states",0.04642980921226444
6,"$35,000-$39,999",2018,"2018",5192595,16659,"United States","01000US","united-states",0.04336915934809658
7,"$40,000-$44,999",2018,"2018",5276041,16523,"United States","01000US","united-states",0.04406611007715618
8,"$45,000-$49,999",2018,"2018",4656185,15063,"United States","01000US","united-states",0.03888900043604731
9,"$50,000-$59,999",2018,"2018",9140757,23730,"United States","01000US","united-states",0.07634466907109629
10,"$60,000-$74,999",2018,"2018",11769465,34020,"United States","01000US","united-states",0.09829994502302712
11,"$75,000-$99,999",2018,"2018",14937330,47276,"United States","01000US","united-states",0.12475832315154628
12,"$100,000-$124,999",2018,"2018",10600942,51888,"United States","01000US","united-states",0.08854030457563697
13,"$125,000-$149,999",2018,"2018",6932183,35577,"United States","01000US","united-states",0.05789840131132241
14,"$150,000-$199,999",2018,"2018",7513313,42617,"United States","01000US","united-states",0.06275206688161229
15,"$200,000+",2018,"2018",8355566,47620,"United States","01000US","united-states",0.06978666221754978
0,"< $10,000",2018,"2018",10001,756,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04141166532782337
1,"$10,000-$14,999",2018,"2018",7592,704,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.031436592657617744
2,"$15,000-$19,999",2018,"2018",8731,638,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03615290970675191
3,"$20,000-$24,999",2018,"2018",9157,732,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03791687025366249
4,"$25,000-$29,999",2018,"2018",9582,697,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03967669004811555
5,"$30,000-$34,999",2018,"2018",8916,663,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03691894891139618
6,"$35,000-$39,999",2018,"2018",9740,717,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04033092893640632
7,"$40,000-$44,999",2018,"2018",8758,639,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0362647100231054
8,"$45,000-$49,999",2018,"2018",8261,594,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03420675605170972
9,"$50,000-$59,999",2018,"2018",17070,931.0000000000001,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07068264445014948
10,"$60,000-$74,999",2018,"2018",23447,960.0000000000001,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09708822287186028
11,"$75,000-$99,999",2018,"2018",32634,1371,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.13512931569924888
12,"$100,000-$124,999",2018,"2018",26726,1152,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.11066575018012273
13,"$125,000-$149,999",2018,"2018",18927,888,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07837202176379492
14,"$150,000-$199,999",2018,"2018",21486,924,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.08896820730263104
15,"$200,000+",2018,"2018",20474,897,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.084777765815604
0,"< $10,000",2017,"2017",7942251,17662,"United States","01000US","united-states",0.06683938094618261
1,"$10,000-$14,999",2017,"2017",5768114,16409,"United States","01000US","united-states",0.04854255663627467
2,"$15,000-$19,999",2017,"2017",5727180,16801,"United States","01000US","united-states",0.04819806951043956
3,"$20,000-$24,999",2017,"2017",5910725,17864,"United States","01000US","united-states",0.04974272406438996
4,"$25,000-$29,999",2017,"2017",5619002,16113.000000000002,"United States","01000US","united-states",0.04728767892318714
5,"$30,000-$34,999",2017,"2017",5711286,15891,"United States","01000US","united-states",0.04806431081649264
6,"$35,000-$39,999",2017,"2017",5332778,16488,"United States","01000US","united-states",0.044878911563412165
7,"$40,000-$44,999",2017,"2017",5354520,15415.000000000002,"United States","01000US","united-states",0.04506188510838473
8,"$45,000-$49,999",2017,"2017",4725195,16890,"United States","01000US","united-states",0.03976569220111494
9,"$50,000-$59,999",2017,"2017",9181800,20965,"United States","01000US","united-states",0.07727101900602984
10,"$60,000-$74,999",2017,"2017",11818514,30722.999999999996,"United States","01000US","united-states",0.0994607397152007
11,"$75,000-$99,999",2017,"2017",14636046,49159,"United States","01000US","united-states",0.12317216544023252
12,"$100,000-$124,999",2017,"2017",10273788,47842,"United States","01000US","united-states",0.08646083206037174
13,"$125,000-$149,999",2017,"2017",6428069,37952,"United States","01000US","united-states",0.054096521583030695
14,"$150,000-$199,999",2017,"2017",6931136,37236,"United States","01000US","united-states",0.05833016854967192
15,"$200,000+",2017,"2017",7465517,42206,"United States","01000US","united-states",0.06282734387558418
0,"< $10,000",2017,"2017",11341,888,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.047326734325966485
1,"$10,000-$14,999",2017,"2017",8030,625,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03350971489617413
2,"$15,000-$19,999",2017,"2017",9082,674,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03789977966214863
3,"$20,000-$24,999",2017,"2017",9653,696,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04028259998664619
4,"$25,000-$29,999",2017,"2017",9653,610,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04028259998664619
5,"$30,000-$34,999",2017,"2017",10005,662,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04175151899579355
6,"$35,000-$39,999",2017,"2017",8972,686,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03744074247179008
7,"$40,000-$44,999",2017,"2017",9800,793,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04089604059557989
8,"$45,000-$49,999",2017,"2017",8159,682,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.034048040328503705
9,"$50,000-$59,999",2017,"2017",17319,908.0000000000001,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07227331908927022
10,"$60,000-$74,999",2017,"2017",23421,1063,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09773736395806903
11,"$75,000-$99,999",2017,"2017",33079,1194,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.1380408292715497
12,"$100,000-$124,999",2017,"2017",25910,1131,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.10812412365627296
13,"$125,000-$149,999",2017,"2017",17717,912.9999999999999,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07393419910529478
14,"$150,000-$199,999",2017,"2017",20102,914,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.08388696000534153
15,"$200,000+",2017,"2017",17389,901,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07256543366495292
0,"< $10,000",2016,"2016",8243664,18695,"United States","01000US","united-states",0.07002996536493092
1,"$10,000-$14,999",2016,"2016",6000362,20040,"United States","01000US","united-states",0.050973104075693484
2,"$15,000-$19,999",2016,"2016",5958713,16103.999999999998,"United States","01000US","united-states",0.050619295620195535
3,"$20,000-$24,999",2016,"2016",6094929,15803,"United States","01000US","united-states",0.051776451195938246
4,"$25,000-$29,999",2016,"2016",5771744,15215.999999999998,"United States","01000US","united-states",0.04903099306512831
5,"$30,000-$34,999",2016,"2016",5856803,14451,"United States","01000US","united-states",0.049753569679601636
6,"$35,000-$39,999",2016,"2016",5404041,15856,"United States","01000US","united-states",0.04590735431000908
7,"$40,000-$44,999",2016,"2016",5408687,15420.000000000002,"United States","01000US","united-states",0.045946822102374885
8,"$45,000-$49,999",2016,"2016",4775997,15270.999999999998,"United States","01000US","united-states",0.04057211750661041
9,"$50,000-$59,999",2016,"2016",9199672,22260,"United States","01000US","united-states",0.0781512579271456
10,"$60,000-$74,999",2016,"2016",11714107,31280.999999999996,"United States","01000US","united-states",0.09951139535661507
11,"$75,000-$99,999",2016,"2016",14361853,53518,"United States","01000US","united-states",0.12200401037284261
12,"$100,000-$124,999",2016,"2016",9856915,44470,"United States","01000US","united-states",0.08373454037610802
13,"$125,000-$149,999",2016,"2016",6028908,33311,"United States","01000US","united-states",0.051215602483113694
14,"$150,000-$199,999",2016,"2016",6369156,36256,"United States","01000US","united-states",0.05410601088106477
15,"$200,000+",2016,"2016",6670686,37386,"United States","01000US","united-states",0.05666750968262772
0,"< $10,000",2016,"2016",13087,816,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.05470490617776273
1,"$10,000-$14,999",2016,"2016",8403,644,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.035125340155248735
2,"$15,000-$19,999",2016,"2016",10288,770,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04300481964979162
3,"$20,000-$24,999",2016,"2016",10388,630,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04342282917204854
4,"$25,000-$29,999",2016,"2016",9862,813,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04122409908497716
5,"$30,000-$34,999",2016,"2016",11320,699,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04731867791948301
6,"$35,000-$39,999",2016,"2016",9150,748,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0382478712865079
7,"$40,000-$44,999",2016,"2016",9857,659,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04120319860886431
8,"$45,000-$49,999",2016,"2016",9101,668,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.03804304662060202
9,"$50,000-$59,999",2016,"2016",18000,930,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07524171400624506
10,"$60,000-$74,999",2016,"2016",23846,1108,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.09967855067738443
11,"$75,000-$99,999",2016,"2016",32389,1168,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.13538910416379285
12,"$100,000-$124,999",2016,"2016",24344,954,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.10176023809822388
13,"$125,000-$149,999",2016,"2016",16768,1024,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07009183669203985
14,"$150,000-$199,999",2016,"2016",18593,868,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.07772051047322857
15,"$200,000+",2016,"2016",13833,681,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.05782325721379933
0,"< $10,000",2015,"2015",8421482,18763,"United States","01000US","united-states",0.07202384442063743
1,"$10,000-$14,999",2015,"2015",6161477,15350.000000000002,"United States","01000US","united-states",0.05269538791976707
2,"$15,000-$19,999",2015,"2015",6139644,16066,"United States","01000US","united-states",0.05250866346969572
3,"$20,000-$24,999",2015,"2015",6227524,15413,"United States","01000US","united-states",0.05326024798269303
4,"$25,000-$29,999",2015,"2015",5852048,17935,"United States","01000US","united-states",0.05004902874507152
5,"$30,000-$34,999",2015,"2015",5951926,15584.000000000002,"United States","01000US","united-states",0.05090322489879416
6,"$35,000-$39,999",2015,"2015",5436927,15238,"United States","01000US","united-states",0.04649874978945071
7,"$40,000-$44,999",2015,"2015",5428388,16329,"United States","01000US","united-states",0.04642572088462044
8,"$45,000-$49,999",2015,"2015",4807116,14457,"United States","01000US","united-states",0.041112357052589664
9,"$50,000-$59,999",2015,"2015",9192915,22197,"United States","01000US","united-states",0.07862144450729029
10,"$60,000-$74,999",2015,"2015",11634324,35808,"United States","01000US","united-states",0.09950133975412975
11,"$75,000-$99,999",2015,"2015",14166538,49496,"United States","01000US","united-states",0.12115783527068609
12,"$100,000-$124,999",2015,"2015",9581177,47995,"United States","01000US","united-states",0.08194201467325937
13,"$125,000-$149,999",2015,"2015",5775363,31309.000000000004,"United States","01000US","united-states",0.04939318829924541
14,"$150,000-$199,999",2015,"2015",6010418,32124,"United States","01000US","united-states",0.05140347161402218
15,"$200,000+",2015,"2015",6139038,32967,"United States","01000US","united-states",0.05250348071804715
0,"< $10,000",2015,"2015",14483,879.9999999999999,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.060771741958223886
1,"$10,000-$14,999",2015,"2015",8661,722,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.036342198239327286
2,"$15,000-$19,999",2015,"2015",10266,580,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04307689725492829
3,"$20,000-$24,999",2015,"2015",10542,678,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04423501372116248
4,"$25,000-$29,999",2015,"2015",10832,797,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.045451875225538986
5,"$30,000-$34,999",2015,"2015",11824,819,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04961438078533724
6,"$35,000-$39,999",2015,"2015",9724,820,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04080262506399013
7,"$40,000-$44,999",2015,"2015",9992,585,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.04192717293700014
8,"$45,000-$49,999",2015,"2015",9968,628,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.0418264671573276
